time,x,y,yaw
1762758253.020926,-0.000079,-0.000586,0.000003
1762758253.070569,0.000294,-0.000341,-0.000079
1762758253.085101,0.001220,0.001217,0.000215
1762758253.096758,0.001116,0.000823,0.000156
1762758253.111554,0.001825,0.002654,0.000519
1762758253.138031,0.002764,0.001173,0.000173
1762758253.156153,0.003726,0.003896,0.000774
1762758253.173893,0.003326,0.002520,0.000869
1762758253.201248,0.005651,0.004807,0.001980
1762758253.226035,0.005607,0.004096,0.001919
1762758253.247244,0.005989,0.005746,0.002350
1762758253.263036,0.006633,0.005353,0.002156
1762758253.298810,0.006721,0.005233,0.002176
1762758253.337277,0.006225,0.005783,0.002411
1762758253.381537,0.005470,0.007521,0.002150
1762758253.415821,0.005530,0.005731,0.002171
1762758253.447838,0.006629,0.008055,0.002911
1762758253.482713,0.006752,0.008465,0.002937
1762758253.517406,0.006999,0.009085,0.002987
1762758253.557269,0.007013,0.008329,0.002956
1762758253.596967,0.008121,0.008653,0.003348
1762758253.629172,0.008515,0.007574,0.003201
1762758253.670953,0.010769,0.009776,0.004306
1762758253.715574,0.010565,0.009800,0.004358
1762758253.743871,0.008733,0.008292,0.003426
1762758253.782444,0.009884,0.006711,0.002909
1762758253.817969,0.010697,0.007681,0.003122
1762758253.852207,0.009980,0.008176,0.003421
1762758253.894397,0.009221,0.007326,0.002904
1762758253.940215,0.010679,0.006901,0.002429
1762758253.970645,0.009577,0.007987,0.001920
1762758254.010764,0.009106,0.007662,0.002100
1762758254.046063,0.008833,0.009101,0.002144
1762758254.077307,0.009858,0.008118,0.001820
1762758254.116804,0.008352,0.007159,0.001181
1762758254.157569,0.007345,0.008023,0.001579
1762758254.202586,0.007878,0.006964,0.001765
1762758254.226729,0.007748,0.006250,0.001833
1762758254.266028,0.007673,0.006259,0.001806
1762758254.314119,0.006433,0.006410,0.002291
1762758254.338354,0.006470,0.006795,0.002361
1762758254.380414,0.007596,0.005938,0.001869
1762758254.587793,0.006140,0.005844,0.001384
1762758254.607391,0.006929,0.005820,0.001109
1762758254.620685,0.007470,0.005094,0.001420
1762758254.635693,0.009438,0.003234,0.000651
1762758254.651915,0.009080,0.003080,0.000285
1762758254.715686,0.008027,0.003404,0.000620
1762758254.730135,0.009573,0.003802,0.001302
1762758254.741847,0.009709,0.004163,0.001325
1762758254.770861,0.011164,0.002090,0.001678
1762758254.782547,0.010997,0.001894,0.001772
1762758254.809764,0.010238,0.002565,0.001379
1762758254.854536,0.009584,0.001364,0.001648
1762758254.882462,0.010742,0.003377,0.002038
1762758254.918919,0.009658,0.003810,0.002431
1762758254.965290,0.009475,0.005398,0.002262
1762758255.178434,0.009882,0.005798,0.002215
1762758255.200140,0.009144,0.006068,0.002003
1762758255.211975,0.009100,0.005864,0.001958
1762758255.226601,0.009292,0.005600,0.001905
1762758255.241564,0.009953,0.005046,0.001601
1762758255.259120,0.011504,0.007133,0.002449
1762758255.443996,0.009652,0.008231,0.003188
1762758255.461599,0.009140,0.007514,0.002607
1762758255.476405,0.010221,0.005985,0.002830
1762758255.490978,0.011204,0.004794,0.002390
1762758255.505251,0.009004,0.004238,0.001336
1762758255.522870,0.007650,0.005483,0.001909
1762758255.537611,0.008689,0.008721,0.002645
1762758255.555227,0.010075,0.006767,0.002033
1762758255.572650,0.009717,0.004641,0.001732
1762758255.587237,0.008381,0.006698,0.002436
1762758255.610284,0.007595,0.005591,0.001933
1762758255.658067,0.007458,0.004328,0.001926
1762758255.712052,0.009451,0.008001,0.003026
1762758255.736898,0.012000,0.005430,0.002116
1762758255.775347,0.012759,0.006584,0.002371
1762758255.816924,0.012293,0.006216,0.002431
1762758255.868506,0.011092,0.006192,0.001942
1762758255.895902,0.010971,0.006369,0.002223
1762758255.933290,0.010524,0.006546,0.001998
1762758256.148623,0.010592,0.005157,0.001886
1762758256.163387,0.012689,0.007710,0.002900
1762758256.181934,0.013177,0.008491,0.002759
1762758256.196571,0.012933,0.010223,0.002862
1762758256.211390,0.011520,0.009374,0.003289
1762758256.237411,0.013729,0.011625,0.004152
1762758256.255345,0.014534,0.011720,0.003918
1762758256.270252,0.014982,0.013263,0.004166
1762758256.293862,0.013566,0.013558,0.004661
1762758256.338180,0.013140,0.015363,0.004640
1762758256.371830,0.012038,0.015961,0.005096
1762758256.405693,0.012117,0.014543,0.004933
1762758256.448822,0.012697,0.014927,0.004773
1762758256.482494,0.015195,0.017951,0.006227
1762758256.522311,0.016289,0.016452,0.005716
1762758256.562845,0.015227,0.015456,0.005053
1762758256.596488,0.015036,0.014578,0.005211
1762758256.640978,0.015252,0.015846,0.005305
1762758256.689586,0.016514,0.014707,0.004800
1762758256.721413,0.016030,0.012979,0.004405
1762758256.761757,0.016014,0.013004,0.004404
1762758256.829786,0.015206,0.013297,0.004120
1762758256.883065,0.016651,0.012571,0.003639
1762758256.902287,0.017657,0.016049,0.004336
1762758256.915529,0.017986,0.015431,0.004131
1762758256.943968,0.017836,0.015720,0.003904
1762758256.989046,0.019140,0.012411,0.003426
1762758257.028575,0.017542,0.012818,0.002670
1762758257.070481,0.018291,0.012692,0.002306
1762758257.105699,0.017522,0.012204,0.002022
1762758257.143002,0.017051,0.011206,0.002239
1762758257.180901,0.015270,0.008737,0.001166
1762758257.217198,0.013713,0.009043,0.001641
